Rang,Nom,Club,Sélection nationale,Pourcentage
1,Cristiano Ronaldo,Real Madrid,Portugal,"27,99 %"
2,Lionel Messi,FC Barcelone,Argentine,"24,72 %"
3,Franck Ribéry,Bayern Munich,France,"23,36 %"
4,Zlatan Ibrahimović,Paris Saint-Germain,Suède,"5,29 %"
5,Neymar,Santos FC Barcelone,Brésil,"3,17 %"
6,Andrés Iniesta,FC Barcelone,Espagne,"2,08 %"
7,Robin van Persie,Manchester United,Pays-Bas,"1,79 %"
8,Arjen Robben,Bayern Munich,Pays-Bas,"1,77 %"
9,Gareth Bale,Tottenham Hotspur Real Madrid,Pays de Galles,"1,32 %"
10,Andrea Pirlo,Juventus,Italie,"1,11 %"
11,Radamel Falcao,Atlético Madrid AS Monaco,Colombie,"1,08 %"
12,Yaya Touré,Manchester City,Côte d’Ivoire,"0,99 %"
13,Robert Lewandowski,Borussia Dortmund,Pologne,"0,92 %"
14,Philipp Lahm,Bayern Munich,Allemagne,"0,82 %"
15,Xavi,FC Barcelone,Espagne,"0,81 %"
16,Mesut Özil,Real Madrid Arsenal,Allemagne,"0,71 %"
17,Bastian Schweinsteiger,Bayern Munich,Allemagne,"0,43 %"
17,Thomas Müller,Bayern Munich,Allemagne,"0,43 %"
19,Luis Suárez,Liverpool,Uruguay,"0,39 %"
20,Edinson Cavani,SSC Naples Paris Saint-Germain,Uruguay,"0,36 %"
21,Thiago Silva,Paris Saint-Germain,Brésil,"0,24 %"
22,Eden Hazard,Chelsea,Belgique,"0,16 %"
23,Manuel Neuer,Bayern Munich,Allemagne,"0,08 %"
4,Zlatan Ibrahimović,Paris Saint-Germain,Suède,"5,29 %"
5,Neymar,Santos FC Barcelone,Brésil,"3,17 %"
6,Andrés Iniesta,FC Barcelone,Espagne,"2,08 %"
7,Robin van Persie,Manchester United,Pays-Bas,"1,79 %"
8,Arjen Robben,Bayern Munich,Pays-Bas,"1,77 %"
9,Gareth Bale,Tottenham Hotspur Real Madrid,Pays de Galles,"1,32 %"
10,Andrea Pirlo,Juventus,Italie,"1,11 %"
11,Radamel Falcao,Atlético Madrid AS Monaco,Colombie,"1,08 %"
12,Yaya Touré,Manchester City,Côte d’Ivoire,"0,99 %"
13,Robert Lewandowski,Borussia Dortmund,Pologne,"0,92 %"
14,Philipp Lahm,Bayern Munich,Allemagne,"0,82 %"
15,Xavi,FC Barcelone,Espagne,"0,81 %"
16,Mesut Özil,Real Madrid Arsenal,Allemagne,"0,71 %"
17,Bastian Schweinsteiger,Bayern Munich,Allemagne,"0,43 %"
17,Thomas Müller,Bayern Munich,Allemagne,"0,43 %"
19,Luis Suárez,Liverpool,Uruguay,"0,39 %"
20,Edinson Cavani,SSC Naples Paris Saint-Germain,Uruguay,"0,36 %"
21,Thiago Silva,Paris Saint-Germain,Brésil,"0,24 %"
22,Eden Hazard,Chelsea,Belgique,"0,16 %"
23,Manuel Neuer,Bayern Munich,Allemagne,"0,08 %"
